subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K3,HELD_OUT,O3,10.24878432225114,37.32948616037596,29.962112493375436,78.14358237833964,0.9322,8.576834222192897,35.71617109817092,30.73969986590445,75.627951301756,0.9364,12.725473816025419
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K3,HELD_OUT,O4,6.972044754053613,32.370514993029424,23.349724830920746,48.92208788095629,0.9514,6.7084007630525395,32.042691598303215,22.462373324267993,47.183077010140664,0.952,5.654537220623248
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K0,K0_DIAGNOSTIC,O0,81.01133643876386,75.8674663702163,104.23536852787865,110.77609142653816,0.1696,9.081641185748602,12.64664399226251,26.290185618588904,40.18404958235743,0.9648,99.72188921454861
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K0,K0_DIAGNOSTIC,O1,9.598498495142191,13.553072092119464,28.67024818913912,42.01010366691842,0.9626,8.963308992621686,12.650767662054143,26.18564129354768,40.12630213312148,0.9652,9.429704944815935
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K0,K0_DIAGNOSTIC,O2,6.834652881474268,10.705207098848597,21.448268811700046,38.453634422436636,0.9622,6.764490697460726,10.607119126134913,20.82463320876291,37.32494952663316,0.963,3.0110384324411714
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K0,K0_DIAGNOSTIC,O3,8.533638337879614,12.169371501789763,25.536431903478825,39.18212131815518,0.9652,8.547131549879115,12.092173800253851,25.463193081505782,38.73114852083682,0.9674,3.3599767035562063
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K0,K0_DIAGNOSTIC,O4,6.582642618312015,10.528316949274167,21.280504004399873,38.223632575938204,0.962,6.5186567979471235,10.399629349498149,20.72399135987921,37.25129738845767,0.9632,3.3461578034303825
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K1,HELD_OUT,O0,47.43047764422367,50.28862382189882,97.80992034809906,108.55157135315068,0.5206,12.349132258924662,16.38817081994343,36.70033683936657,53.84545912235236,0.9406,86.82823192647356
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K1,HELD_OUT,O1,9.184454846623403,15.194421763781794,36.01380042251044,62.75382795597584,0.9236,8.971659199073553,14.242443307503828,34.071337754598154,59.42504457898339,0.9312,7.695624799637054
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K1,HELD_OUT,O2,7.775818400984779,13.337325126395365,31.874321465450173,61.81072243256267,0.9222,7.302374245722731,13.152610812243095,32.65519391997252,60.28324842743393,0.9214,2.962500504261424
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K1,HELD_OUT,O3,8.800777098690148,13.900571864286624,34.18352981261742,55.866157542998344,0.9348,8.807981897052734,13.830814087868363,33.586924292370576,54.72767611712003,0.9366,2.9171627358763623
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K1,HELD_OUT,O4,7.415538628790127,13.123462517921942,31.79430606547285,60.429316055225264,0.923,7.244753653991799,13.006767496981123,32.02973304268724,59.469464078799916,0.924,2.6321506694969137
Sub04,Date03_Sub04_yogaball_play,t0022.000,Sub04/Date03_Sub04_yogaball_play/t0022.000,K2,HELD_OUT,O0,33.424803559669925,57.10960858123576,86.93496431041864,100.34323806584342,0.6882,29.70305960974858,50.233613595368666,67.19326290057757,72.53165866870569,0.7536,45.07652657622075
