subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0022.000,O3,8.800777098690148,26.951070249802964,34.18352981261742,54.29228882450937,0.9396,8.807981897052734
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0022.000,O4,7.691645019350515,27.03046042131218,31.79430606547285,59.7459994200087,0.9306,7.4122905453458845
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0034.000,O0,32.79403230253426,43.184910400910375,76.00422850606846,84.46595885940408,0.6956,14.019744939218885
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0034.000,O1,13.739845688767714,23.476535718617747,36.34262876431244,45.72041285652275,0.9574,11.169905015944714
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0034.000,O2,11.821013089105982,21.755127071027086,30.425525085067218,45.89219783915117,0.9532,7.6094758852595445
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0034.000,O3,13.044895928798297,23.003744911435614,35.50529739797416,45.746861365177885,0.9586,10.807233899353438
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0034.000,O4,12.160412658381095,21.931825620530827,30.314233750173237,45.677695069314375,0.9532,7.446420161826978
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0035.000,O0,54.61647336883398,114.4232080089748,116.3430841083074,132.67177325311323,0.4636,15.804278804922504
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0035.000,O1,16.78294739122428,44.25004777302796,43.875433524438996,53.84761201083438,0.935,12.421487359086509
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0035.000,O2,13.329691880629309,38.442759284194665,40.212950963036576,46.139628970898364,0.9592,11.493942439555566
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0035.000,O3,13.334458530701607,41.163772473239284,37.32113056328622,49.69067733025765,0.9508,12.70764079349083
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0035.000,O4,12.768077307231884,38.07138983445699,38.26492625292295,45.15131282095884,0.959,11.082858003393046
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0070.000,O0,39.54183167759986,55.607430543797626,75.16927457034579,88.41087526219404,0.6384,13.619453707509557
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0070.000,O1,14.973444318640206,31.372765175474015,35.22326424830973,42.19939927242628,0.976,10.536755972625501
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0070.000,O2,16.108079913456802,32.73507003643139,35.12323561951662,42.61295211844224,0.9634,12.789656222543933
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0070.000,O3,14.680998818799148,31.13330994966447,32.97034482203226,40.90154119575201,0.9818,10.62423430295102
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0070.000,O4,15.298195674031527,32.50956962196472,33.989087311796695,41.075629777300705,0.9656,12.474401519416931
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0101.000,O0,39.37973644073234,128.9438024610489,83.45372780108352,100.66375452127522,0.6154,19.644339975267805
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0101.000,O1,18.76901000687566,109.3860897893278,36.12699179860652,46.56714821478926,0.9564,10.98247805119453
Sub05,Date03_Sub05_backpack,Sub05/Date03_Sub05_backpack/t0101.000,O2,16.23424038124361,103.77260055869431,34.78482037118363,52.53630743407824,0.947,12.761870136347069
